happiness,familylife,finances,employment,housing,support,healthwellness,hwfrequency,socialgroup,socialgroupfrequency,serviceorganization,sorganizationfrequency,lonelinessfrequency,companionship,leftout,isolated,lonely,discuss,neighbors,family,friends,familyinperson,familyoverphone,familyoversocialmedia,friendsinperson,friendsoverphone,friendsoversocialmedia,problem,publicorindividual,government,individuals,nonprofits,churches,factors,movingaway,governmentcuts,technology,agingparents,unemployment,internet,socialmedia,socialmediafrequency,socialmediahours,lookingorengaging,connections,lonelinessandsocialmedia,onlinevsphone,onlinevsinperson,recommendinternet,spendtime,bigproblem,cause,continuous,lengthlonely,impactpersonalrelationships,impactjob,impactphysicalhealth,impactmentalhealth,talkfriend,visitpublic,counselor,exercise,drugs,cigarettes,overeat,past,browse,distract,talk,doctor,closefriend,familymember,mentalhealthprofessional,advisor,helpful,whototalkto,problemnotbad,havetime,energy,handleonyourown,afford,violentact,harmingyourself
Very happy,Declined to answer,Somewhat satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,Yes,About once a week,No, ,"Rarely, or","Rarely, or",Never,"Rarely, or",Not Lonely,15,Somewhat satisfied,Very satisfied,Very satisfied,A few times a year,A few times a week,A few times a week,Every day,Every day,Every day,Only a little,More of an individual problem,No role at all,Minor role,No role at all,Minor role,Both equally/It depends (Vol.),Minor reason,Minor reason,Declined to answer,Declined to answer,Not a reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,Equally satisfied,More satisfied,Declined to answer,Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A fair amount,Yes,About once a week,Yes,Several times a week,No, ,Sometimes,"Rarely, or",Sometimes,Sometimes,Not Lonely,2,Somewhat satisfied,Very satisfied,Very satisfied,Every day,A few times a week,Less than that,A few times a month,A few times a week,A few times a week,Nothing at all,More of a public health problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Both/Neither (Vol.),Better,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Sometimes,"Rarely, or","Rarely, or",Not Lonely,4,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,A few times a month,A few times a year,A few times a month,A few times a week,A few times a week,A few times a month,Some,More of an individual problem,Minor role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Not a reason,Not a reason,Minor reason,Minor reason,Minor reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Very satisfied,Very dissatisfied,Very dissatisfied,Somewhat dissatisfied,Just a few,No, ,No, ,No, ,Sometimes,Sometimes,Never,Never,Not Lonely,4,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a year,A few times a week,Every day,A few times a year,A few times a week,A few times a week,A lot,More of a public health problem,Major role,Minor role,Major role,Major role,Mostly have themselves to blame,Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,An equal mix of both,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,Yes,A few times a year,No, ,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,10,Somewhat satisfied,Somewhat dissatisfied,Very satisfied,A few times a year,A few times a year,A few times a month,Every day,A few times a week,A few times a week,Some,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,Looking at what other people are doing,Weakened,Better,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,Yes,Not sure,No, ,No, ,Never,Never,Never,Never,Not Lonely,4,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,A few times a month,Less than that,A few times a week,Some,More of an individual problem,No role at all,Major role,No role at all,No role at all,Both equally/It depends (Vol.),Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Yes,No, , , , , ,Never interact with friends online (Vol.),Never interact with friends online (Vol.),"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,A lot,Yes,Once or twice a month,Yes,Several times a week,No, ,"Rarely, or","Rarely, or",Sometimes,"Rarely, or",Not Lonely,12,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,A few times a week,A few times a month,A few times a month,A few times a year,A few times a year,A few times a month,A lot,More of a public health problem,Minor role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Major reason,Not a reason,Minor reason,Major reason,Major reason,Yes,Yes,Once or twice a month, ,Looking at what other people are doing,Weakened,Better,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,No, ,"Rarely, or",Never,Never,Never,Not Lonely,5,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,A few times a month,A few times a week,A few times a month,A few times a year,A few times a year,Less than that,Nothing at all,More of an individual problem,No role at all,Major role,Minor role,Major role,Both equally/It depends (Vol.),Minor reason,Minor reason,Major reason,Major reason,Minor reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Sometimes,Never,Never,Sometimes,Not Lonely,4,Somewhat satisfied,Very dissatisfied,Very satisfied,A few times a year,A few times a month,A few times a week,A few times a week,A few times a week,Every day,Some,More of an individual problem,Minor role,Minor role,Minor role,Minor role,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Minor reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,Yes,Several times a week,No, ,Never,Never,Never,Never,Not Lonely,2,Very satisfied,Somewhat satisfied,Very satisfied,A few times a month,Every day,Less than that,A few times a month,A few times a week,A few times a week,Only a little,More of an individual problem,Major role,Major role,Major role,Major role,Mostly have themselves to blame,Major reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,At least an hour but less than 2 hours,Looking at what other people are doing,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A lot,Yes,Several times a week,Yes,Several times a week,Yes,Once or twice a month,"Rarely, or",Never,Never,Never,Not Lonely,8,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a year,A few times a month,A few times a week,Every day,A few times a week,A few times a week,A lot,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,An equal mix of both,Not sure,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Somewhat dissatisfied,Very dissatisfied,Very dissatisfied,Very satisfied,No one,No, ,Yes,About once a week,No, ,Sometimes,Sometimes,Often,Often,Lonely,2,Very satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Less than that,A few times a year,Less than that,Every day,A few times a week,Less than that,Only a little,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Minor reason,Major reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"Yes, would recommend",Harder,Minor problem,Death/loss of other person (non-specific),Loneliness comes and goes,6 months to less than a year,Very negative,Very negative,Somewhat negative,Very negative,Almost always,Almost always,Never,Almost always,Sometimes,Rarely,Almost always,Almost always,Almost always,Never,Yes,Yes,Yes,Yes,No,Yes,Very helpful, , , , , , ,No,No
Somewhat happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,A lot,No, ,No, ,Yes,Once or twice a month,Never,Often,Never,Never,Lonely,6,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,A few times a week,Every day,A few times a week,A few times a week,A few times a week,A few times a week,Some,More of a public health problem,Major role,Major role,Major role,Minor role,Both equally/It depends (Vol.),Minor reason,Major reason,Major reason,Minor reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Strengthened,Worse,Equally satisfied,More satisfied,"No, would not recommend",Harder,Isn't really a problem,Other,Loneliness comes and goes,Less than 6 months,Somewhat negative,No impact,Very positive,Very positive,Almost always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Very helpful, , , , , , ,No,No
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Just a few,Yes,About once a week,No, ,No, ,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,5,Not applicable (Vol.),Very satisfied,Very satisfied,A few times a year,A few times a week,Every day,A few times a month,A few times a month,Every day,Some,More of a public health problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,Yes,A few times a year,Yes,A few times a year,Never,"Rarely, or",Never,Never,Not Lonely,4,Very satisfied,Very satisfied,Very satisfied,A few times a month,A few times a week,Every day,Every day,A few times a week,Every day,A lot,More of an individual problem,Minor role,Major role,Major role,Major role,Mostly have themselves to blame,Major reason,Not a reason,Major reason,Major reason,Not a reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,About once a week,No, ,"Rarely, or",Never,Sometimes,"Rarely, or",Not Lonely,5,Somewhat dissatisfied,Very satisfied,Very satisfied,A few times a year,A few times a month,A few times a week,A few times a week,A few times a week,Every day,Nothing at all,More of a public health problem,Minor role,Major role,Minor role,Minor role,Mostly have themselves to blame,Not a reason,Not a reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Looking at what other people are doing,Strengthened,Better,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Just a few,Yes,Once or twice a month,Yes,A few times a year,No, ,Never,Never,Never,Never,Not Lonely,1,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a year,A few times a year,A few times a month,A few times a week,A few times a year,A few times a month,Some,More of an individual problem,Minor role,Minor role,Minor role,Minor role,Mostly have themselves to blame,Not a reason,Minor reason,Minor reason,Minor reason,Minor reason,Yes,Yes,Once or twice a month, ,An equal mix of both,Strengthened,Never have feelings of loneliness (Vol.),Less satisfied,More satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,Several times a week,Yes,Several times a week,Yes,About once a week,Never,Never,Never,Never,Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,A few times a week,Every day,A few times a week,Every day,A few times a week,A few times a week,Nothing at all,More of an individual problem,No role at all,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Minor reason,Major reason,Major reason,Yes,No, , , , , ,Less satisfied,More satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,Yes,Several times a week,No, ,Never,Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,A few times a week,Every day,Every day,A few times a week,Every day,Every day,A lot,More of a public health problem,Major role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Major reason,Yes,No, , , , , ,Equally satisfied,More satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,No one,No, ,No, ,No, ,"Rarely, or",Always,"Rarely, or","Rarely, or",Lonely,3,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Every day,A few times a month,A few times a week,Every day,A few times a year,A few times a week,Only a little,More of an individual problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Not a reason,Major reason,Major reason,Not a reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Worse,Equally satisfied,Equally satisfied,"No, would not recommend",Harder,Isn't really a problem,No specific cause for feelings of loneliness,Loneliness comes and goes,One to two years,No impact,No impact,No impact,No impact,Sometimes,Rarely,Rarely,Almost always,Almost always,Almost always,Sometimes,Never,Never,Rarely,Yes,No,No,Yes,No,No,Somewhat helpful, , , , , , ,Yes,Yes
Very happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A fair amount,No, ,Yes,Several times a week,No, ,Sometimes,Sometimes,Sometimes,"Rarely, or",Not Lonely,10,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,A few times a month,A few times a month,A few times a month,A few times a week,A few times a week,A few times a month,Only a little,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Minor reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Weakened,Worse,Equally satisfied,Equally satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,"Rarely, or",Never,Never,Not Lonely,10,Somewhat satisfied,Somewhat satisfied,Very satisfied,Every day,Every day,Every day,Every day,Every day,Every day,Only a little,More of a public health problem,Minor role,Major role,Major role,Minor role,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Minor reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Not sure,Equally satisfied,Equally satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat dissatisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Often,"Rarely, or",Often,Often,Lonely,5,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,Every day,Every day,A few times a week,Every day,A few times a week,Every day,Some,More of a public health problem,Major role,Minor role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Minor reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Worse,Equally satisfied,Equally satisfied,"No, would not recommend",Easier,Isn't really a problem,"Death/loss of other family member (child, sibling, etc.)",Loneliness comes and goes,6 months to less than a year,No impact,No impact,No impact,No impact,Almost always,Sometimes,Rarely,Almost always,Almost always,Sometimes,Never,Sometimes,Almost always,Rarely,Yes,No,Yes,Yes,No,Yes,Very helpful, , , , , , ,No,No
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Sometimes,"Rarely, or",Never,Not Lonely,2,Very dissatisfied,Very satisfied,Somewhat satisfied,A few times a week,A few times a week,A few times a week,A few times a month,A few times a month,A few times a month,Nothing at all,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Major reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,No impact (Vol.),Equally satisfied,Equally satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,Yes,Once or twice a month,Sometimes,Sometimes,"Rarely, or","Rarely, or",Not Lonely,20,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a year,A few times a week,A few times a week,A few times a month,A few times a week,Some,More of a public health problem,Minor role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,An equal mix of both,Strengthened,Better,Equally satisfied,Equally satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,Yes,About once a week,"Rarely, or","Rarely, or","Rarely, or",Never,Not Lonely,3,Somewhat satisfied,Very satisfied,Somewhat satisfied,No family R doesn't live with (Vol.),No family R doesn't live with (Vol.),No family R doesn't live with (Vol.),Every day,Every day,Every day,Nothing at all,More of an individual problem,No role at all,Minor role,No role at all,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Not a reason,Minor reason,Major reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,About once a week,Yes,Several times a week,Yes,Several times a week,Never,Never,Never,Never,Not Lonely,20,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,Every day,A few times a week,Every day,Some,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Not a reason,Minor reason,Minor reason,Not a reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Very dissatisfied,Very dissatisfied,Very satisfied,Somewhat satisfied,No one,No, ,No, ,No, ,Never,Never,Never,Always,Lonely,4,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a month,A few times a month,Never (Vol.),A few times a year,A few times a year,Never (Vol.),Some,More of a public health problem,No role at all,Major role,Minor role,Minor role,Both equally/It depends (Vol.),Minor reason,Major reason,Major reason,Not a reason,Not a reason,No,No, , , , , , , ,"No, would not recommend",Hasn't made a difference,Isn't really a problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Six to ten years,No impact,No impact,Very positive,No impact,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,No, , , , , , ,Not a reason,Not a reason,Not a reason,Not a reason,Minor reason,Major reason,No,No
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,Yes,Once or twice a month,No, ,No, ,Never,Never,Never,Never,Not Lonely,1,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a year,Every day,A few times a week,A few times a year,Nothing at all,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Minor reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat dissatisfied,Very dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Just a few,No, ,No, ,No, ,Sometimes,Sometimes,Sometimes,Sometimes,Not Lonely,5,Somewhat dissatisfied,Somewhat satisfied,Very dissatisfied,A few times a month,A few times a month,A few times a year,A few times a month,A few times a month,A few times a year,Some,More of an individual problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Once or twice a month, ,An equal mix of both,Strengthened,Worse,Equally satisfied,Equally satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,1,Not applicable (Vol.),Somewhat satisfied,Somewhat satisfied,A few times a month,A few times a month,A few times a month,Never (Vol.),Never (Vol.),Never (Vol.),Only a little,More of an individual problem,No role at all,Minor role,Minor role,Minor role,Both equally/It depends (Vol.),Major reason,Minor reason,Minor reason,Major reason,Major reason,Yes,No, , , , , ,Never interact with friends online (Vol.),Never interact with friends online (Vol.),Not sure,Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,Once or twice a month,Yes,Once or twice a month,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,1,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a month,A few times a month,A few times a month,Less than that,A few times a year,A few times a month,Only a little,More of a public health problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,Equally satisfied,Equally satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Somewhat dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,No one,No, ,No, ,No, ,Sometimes,Often,"Rarely, or",Often,Lonely,2,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Less than that,A few times a month,A few times a week,A few times a year,A few times a year,Every day,Not sure,More of a public health problem,Major role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Minor reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Worse,Equally satisfied,More satisfied,"No, would not recommend",Easier,Major problem,Divorce/separation from significant other,Loneliness comes and goes,One to two years,Somewhat negative,Very negative,Very positive,Very negative,Almost always,Rarely,Never,Never,Almost always,Sometimes,Almost always,Never,Never,Never,Yes,Yes,Yes,Yes,Yes,No,Very helpful, , , , , , ,Yes,Yes
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,A lot,Yes,Once or twice a month,No, ,No, ,Never,Never,Sometimes,Never,Not Lonely,3,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,A few times a month,Every day,Every day,Nothing at all,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Not a reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,Engaging in conversations with other people,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,6,Not applicable (Vol.),Somewhat satisfied,Very satisfied,A few times a month,Less than that,A few times a month,A few times a week,Every day,Every day,Some,More of an individual problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Not a reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,2 hours or more,Looking at what other people are doing,Strengthened,Declined to answer,Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,A lot,No, ,No, ,No, ,"Rarely, or","Rarely, or",Sometimes,"Rarely, or",Not Lonely,No one,Somewhat dissatisfied,Somewhat dissatisfied,Very satisfied,Every day,A few times a week,A few times a week,A few times a week,A few times a week,Every day,Only a little,More of a public health problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Minor reason,Major reason,Major reason,Yes,Yes,A few times a week,At least an hour but less than 2 hours,Engaging in conversations with other people,Strengthened,Better,Equally satisfied,More satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,Several times a week,Yes,Once or twice a month,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,A few times a month,Every day,A few times a month,A few times a month,Every day,A lot,More of a public health problem,Major role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Minor reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Just a few,Yes,Several times a week,Yes,About once a week,Yes,About once a week,Sometimes,"Rarely, or","Rarely, or","Rarely, or",Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,A few times a year,A few times a week,A few times a month,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,No role at all,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Minor reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,Looking at what other people are doing,Strengthened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat dissatisfied,A lot,No, ,No, ,No, ,Never,Never,Sometimes,Never,Not Lonely,2,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a month,A few times a week,A few times a month,A few times a month,A few times a week,Never (Vol.),Only a little,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Not a reason,Not a reason,Major reason,Major reason,Not a reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
