1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,qnage,qnage2,qnrsex,qnstate,qnmarita,qndhh1,qnkids,qnkidsag,qnkidsad,qnemptyn,qn50a,qn50b,qn50c,qn50d,qn50e,qn50f,qn50g,qn50h,qnhealth,qnmhealt,qndebili,qnmcondi,qnemploy,qnpartyu,qneducus,qnreligo,qnhispan,qnraceus,qnrace_1,qnnativi,qnincome,qnl1,qnc1,qnusr,int1,recage,recage2,recage3,gender,rechealt,rechea_1,recemplo,receduc,receduc2,receduc3,racethn,racethn2,recincom,q5_any_o,q50_yes_,hphoneus,cstate,final_ms,cregion,density,division,urban,usr,endlang,intdate,wt1,weight
Somewhat happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,Yes,Once or twice a month,No, ,Never,"Rarely, or",Sometimes,Never,Not Lonely,15,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,A few times a week,Every day,A few times a week,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Minor reason,Minor reason,Yes,Yes,A few times a week,2 hours or more,An equal mix of both,Weakened,Better,Less satisfied,Less satisfied,Not sure,Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65, ,Female, ,"Single, that is never married",1,0, ,No, ,Yes,Yes,No,No,No,No,Yes,Yes,Only fair,Very good,Yes,No,Retired,Democrat,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",A few times a year,No,White, , ,"$30,000 to less than $40,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,65-79,65-79,FEMALE,Only fair/Poor,Only fair/Poor,Retired,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",Less than $40K,Yes to any,Yes to any,Dual HH,California,Urban- Center City (Metro),West,Highest,Pacific,2,Urban,EN,20180424,0.4775,0.4451
Not too happy,Somewhat satisfied,Very dissatisfied,Not sure,Somewhat dissatisfied,A fair amount,No, ,Yes,Once or twice a month,Yes,Once or twice a month,Sometimes,Often,Sometimes,Sometimes,Lonely,3,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a month,A few times a week,A few times a week,A few times a month,A few times a week,A few times a month,Some,Not sure,No role at all,Minor role,Major role,Major role,Both equally/It depends (Vol.),Major reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,More satisfied,"Yes, would recommend",Harder,Minor problem,Other,Loneliness comes and goes,Six to ten years,No impact,Not applicable/Not employed/Retired/Disabled (Vol.),No impact,Somewhat negative,Sometimes,Never,Never,Rarely,Sometimes,Not sure,Almost always,Never,Never,Rarely,Yes,No,Yes,Yes,No,No,Not at all helpful, , , , , , ,No,No,74, ,Female, ,Divorced,1,0, ,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Very good,Very good,Yes,No,Retired,Or what?,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Once a week,No,Other or mixed race (SPECIFY),NATIVE AMERICAN & WHITE, ,"$20,000 to less than $30,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,65-79,65-79,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,College +,College +,College +,"Other, non-Hispanic","Other, non-Hispanic",Less than $40K,Yes to any,Yes to any,Dual HH,Nevada,Urban- Center City (Metro),West,Lowest,Mountain,2,Urban,EN,20180424,0.4775,0.3121
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,Yes,Several times a week,No, ,"Rarely, or",Always,Never,"Rarely, or",Lonely,3,Somewhat satisfied,Very satisfied,Very satisfied,Every day,A few times a month,Never (Vol.),Every day,A few times a week,Less than that,Nothing at all,More of an individual problem,No role at all,Minor role,No role at all,Minor role,Mostly have themselves to blame,Not a reason,Minor reason,Minor reason,Not sure,Minor reason,No,No, , , , , , , ,"No, would not recommend",Hasn't made a difference,Isn't really a problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Less than 6 months,No impact,No impact,No impact,No impact,Rarely,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,No, , , , , , ,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,No,No,82, ,Male, ,Married,2,0, ,Yes,No,No,No,No,No,No,Yes,No,No,Only fair,Very good,Yes,No,Retired,Republican,High school graduate (Grade 12 with diploma or GED certificate),More than once a week,No,White, , ,"$20,000 to less than $30,000",Yes respondent or someone else has cell phone in household, ,Rural, ,65+,80+,80-97,MALE,Only fair/Poor,Only fair/Poor,Retired,High school graduate,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",Less than $40K,Yes to any,Yes to any,Dual HH,West Virginia,Suburban (Metro),South,Lowest,South Atlantic,4,Suburban,EN,20180425,0.7055,0.4056
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Often,"Rarely, or","Rarely, or",Lonely,12,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,Every day,Every day,A few times a week,Every day,Every day,Some,More of a public health problem,No role at all,Not sure,Minor role,Minor role,Both equally/It depends (Vol.),Minor reason,Minor reason,Minor reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Not sure,Equally satisfied,Equally satisfied,"No, would not recommend",Easier,Isn't really a problem,Physical/health problems,Not sure,Declined to answer,No impact,No impact,Declined to answer,No impact,Rarely,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Never,No, , , , , , ,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,No,No,64, ,Female, ,Divorced,1,0, ,Yes,No,No,No,No,No,No,Yes,No,Yes,Excellent,Very good,No,No,Employed full-time,Republican,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",A few times a year,No,White, , ,"$75,000 to less than $90,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,18-64,50-64,55-64,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,No to all,Yes to any,Dual HH,New Jersey,Suburban- Non-Center City (Metro),Northeast,Highest,Mid Atlantic,3,Suburban,EN,20180425,0.4775,0.51
Not too happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,About once a week,No, ,Never,Never,Never,Never,Not Lonely,1,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,Never (Vol.),A few times a week,A few times a week,Less than that,Nothing at all,More of an individual problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Not sure,Major reason,Not sure,Major reason,Major reason,No,No, , , , , , , ,Not sure,Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,77, ,Female, ,"Widowed, or",1,0, ,Yes,No,No,No,No,No,No,Yes,No,No,Good,Very good,Yes,No,Retired,Democrat,Less than high school (Grades 1-8 or no formal schooling),Once a week,No,Black or African-American, , ,"$20,000 to less than $30,000",No, ,Suburban, ,65+,65-79,65-79,FEMALE,Good,Excellent/Very Good/Good,Retired,Less than high school,High school or less,Less than college,"Black, non-Hispanic","Black, non-Hispanic",Less than $40K,Yes to any,Yes to any,LLO HH,Illinois,Urban- Center City County (Metro),North Central,Highest,East North Central,3,Suburban,EN,20180425,0.7387,1.5054
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,No, ,"Rarely, or","Rarely, or",Never,"Rarely, or",Not Lonely,20,Somewhat satisfied,Somewhat satisfied,Very satisfied,Every day,Every day,Less than that,A few times a week,Every day,Less than that,Nothing at all,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Not a reason,Major reason,Not a reason,Minor reason,Yes,No, , , , , ,Never interact with friends online (Vol.),Never interact with friends online (Vol.),"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65, ,Male, ,Married,4,1,8, , ,No,No,No,No,No,Yes,No,Yes,Very good,Excellent,No,No,Employed full-time,Independent,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",More than once a week,No,White, , ,"$100,000 or more",Yes respondent or someone else has cell phone in household, ,Rural, ,65+,65-79,65-79,MALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$90K+,Yes to any,Yes to any,Dual HH,Massachusetts,Suburban (Metro),Northeast,4,New England,3,Suburban,EN,20180426,0.839,0.5618
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Once or twice a month,Yes,A few times a year,Never,Never,Never,Never,Not Lonely,15,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,Every day,Every day,A few times a week,A few times a week,Every day,Only a little,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Not a reason,Major reason,Minor reason,Minor reason,Yes,Yes,A few times a week,Less than half an hour,Looking at what other people are doing,Weakened,Worse,Less satisfied,More satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,52, ,Male, ,Divorced,2,2,10, , ,No,No,No,No,No,No,No,No,Good,Excellent,No,No,Employed full-time,Republican,"Some postgraduate or professional school, no postgraduate degree",A few times a year,No,White, , ,"$100,000 or more",Yes respondent or someone else has cell phone in household, ,Suburban, ,18-64,50-64,45-54,MALE,Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$90K+,Yes to any,No to all,Dual HH,New York,Suburban- Non-Center City (Metro),Northeast,4,Mid Atlantic,3,Suburban,EN,20180426,0.7055,0.8351
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,Several times a week,Yes,Several times a week,Yes,About once a week,Never,"Rarely, or",Never,Never,Not Lonely,20,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Less than that,Every day,Every day,A few times a week,Only a little,More of an individual problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Not a reason,Major reason,Major reason,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60, ,Female, ,Married,3,0, ,Yes,No,No,No,No,No,No,Yes,No,No,Excellent,Excellent,No,No,Employed full-time,Independent,High school graduate (Grade 12 with diploma or GED certificate),Once a week,No,White, , ,"$75,000 to less than $90,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,18-64,50-64,55-64,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,High school graduate,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,Yes to any,Yes to any,Dual HH,Connecticut,Urban- Center City (Metro),Northeast,3,New England,4,Suburban,EN,20180426,0.839,2.029
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,Never,Never,Sometimes,Sometimes,Not Lonely,4,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,A few times a week,A few times a week,Every day,Some,More of a public health problem,Major role,Minor role,Major role,Major role,Mostly have themselves to blame,Not a reason,Minor reason,Not a reason,Major reason,Major reason,Yes,Yes,A few times a week,2 hours or more,An equal mix of both,Strengthened,Better,More satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,63, ,Female, ,Married,2,0, ,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Poor,Good,Yes,No,On disability and can't work,Republican,Two-year associate degree from a college or university,Once a week,No,White, , ,"$50,000 to less than $75,000",Yes respondent or someone else has cell phone in household, ,Urban, ,18-64,50-64,55-64,FEMALE,Only fair/Poor,Only fair/Poor,On disability and can't work,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,No to all,Yes to any,Dual HH,Maryland,Rural- Non-Metro,South,Lowest,South Atlantic,4,Suburban,EN,20180426,0.7055,0.8401
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,About once a week,No, ,Never,Never,Never,Never,Not Lonely,4,Very satisfied,Very satisfied,Very satisfied,A few times a week,Every day,A few times a week,A few times a week,A few times a week,A few times a week,A lot,More of an individual problem,No role at all,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Minor reason,Major reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,Looking at what other people are doing,Weakened,Never have feelings of loneliness (Vol.),Not sure,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,67, ,Female, ,Married,2,0, ,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Excellent,Excellent,No,No,Retired,Republican,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",More than once a week,No,White, , ,Declined to answer,Yes respondent or someone else has cell phone in household, ,Rural, ,65+,65-79,65-79,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",Don't know/Refused,Yes to any,Yes to any,Dual HH,Georgia,Rural- Non-Metro,South,Lowest,South Atlantic,4,Suburban,EN,20180426,0.7055,0.4139
Very happy,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,Several times a week,No, ,Sometimes,Sometimes,Sometimes,Sometimes,Not Lonely,10,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,A few times a week,Less than that,A few times a week,Every day,Never (Vol.),Nothing at all,More of a public health problem,Declined to answer,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Declined to answer,Minor reason,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,62, ,Male, ,"Single, that is never married",1,0, ,No, ,No,Yes,No,No,No,Yes,No,No,Only fair,Very good,Yes,No,On disability and can't work,Declined to answer,High school graduate (Grade 12 with diploma or GED certificate),More than once a week,No,Black or African-American, , ,"Less than $20,000",Yes respondent or someone else has cell phone in household, ,Not sure, ,18-64,50-64,55-64,MALE,Only fair/Poor,Only fair/Poor,On disability and can't work,High school graduate,High school or less,Less than college,"Black, non-Hispanic","Black, non-Hispanic",Less than $40K,Yes to any,Yes to any,Dual HH,South Carolina,Urban- Center City (Metro),South,2,South Atlantic,4,Suburban,EN,20180426,0.4775,0.7154
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,Several times a week,Yes,Once or twice a month,No, ,Never,Never,"Rarely, or",Never,Not Lonely,10,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,Every day,Every day,A few times a week,A few times a week,A few times a week,A lot,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,Looking at what other people are doing,Strengthened,Better,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54, ,Female, ,Divorced,1,0, ,Yes,Yes,No,No,No,No,No,Yes,No,No,Excellent,Excellent,No,No,Employed full-time,Republican,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Once or twice a month,No,White, , ,"$100,000 or more",Yes respondent or someone else has cell phone in household, ,Suburban, ,18-64,50-64,45-54,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$90K+,Yes to any,Yes to any,Dual HH,Virginia,Suburban (Metro),South,4,South Atlantic,3,Suburban,EN,20180426,0.4775,0.6537
Not too happy,Somewhat dissatisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,Several times a week,Yes,Less than that,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,4,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a month,Every day,A few times a month,A few times a week,Every day,Nothing at all,Not sure,No role at all,Major role,Major role,Major role,Both equally/It depends (Vol.),Minor reason,Minor reason,Not a reason,Major reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,Looking at what other people are doing,Strengthened,Better,Less satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,74, ,Male, ,Married,2,0, ,Yes,No,No,No,No,No,No,No,No,Yes,Excellent,Excellent,No,Yes,Employed part-time,Republican,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Once a week,No,White, , ,"$100,000 or more",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,65-79,65-79,MALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$90K+,Yes to any,Yes to any,Dual HH,Pennsylvania,Suburban (Metro),Northeast,4,Mid Atlantic,3,Suburban,EN,20180426,0.7055,0.4724
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,Yes,About once a week,"Rarely, or","Rarely, or","Rarely, or",Never,Not Lonely,8,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,A few times a week,A few times a week,Every day,A lot,More of an individual problem,No role at all,Minor role,Minor role,Minor role,Both equally/It depends (Vol.),Minor reason,Not a reason,Not a reason,Not a reason,Not a reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Weakened,Worse,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46, ,Female, ,"Single, that is never married",1,1,15, , ,No,No,No,No,No,Yes,Yes,Yes,Very good,Very good,No,No,Employed full-time,Independent,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",A few times a year,No,White, , ,"$50,000 to less than $75,000",Yes respondent or someone else has cell phone in household, ,Rural, ,18-64,30-49,45-54,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,Yes to any,Yes to any,Dual HH,Mississippi,Rural- Non-Metro,South,Lowest,East South Central,5,Rural,EN,20180426,0.4775,0.49
Very happy,Very satisfied,Somewhat satisfied,Declined to answer,Somewhat satisfied,A fair amount,No, ,Yes,Several times a week,No, ,Never,Never,Never,Never,Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,Not sure,A few times a week,Declined to answer,A few times a week,A few times a week,Never (Vol.),Only a little,Not sure,Not sure,Declined to answer,Not sure,Not sure,Not sure,Not sure,Minor reason,Declined to answer,Minor reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Not sure, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,84, ,Female, ,"Widowed, or",1,0, ,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Very good,Only fair,No,No,Retired,Republican,High school incomplete (Grades 9-11 or Grade 12 with no diploma),More than once a week,No,White, , ,"$20,000 to less than $30,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,80+,80-97,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,Less than high school,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",Less than $40K,Yes to any,Yes to any,Dual HH,Oklahoma,Urban- Center City (Metro),South,4,West South Central,2,Urban,EN,20180426,0.4775,0.5768
Very happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,Yes,Several times a week,Yes,Several times a week,Never,Never,Never,Never,Not Lonely,5,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,A few times a month,A few times a month,A few times a week,A few times a week,A few times a month,Some,More of a public health problem,Minor role,Major role,No role at all,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Minor reason,Minor reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Strengthened,No impact (Vol.),Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65, ,Male, ,Married,2,0, ,No, ,No,No,Yes,No,No,Yes,Yes,No,Good,Excellent,Yes,Yes,Retired,Democrat,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",More than once a week,Yes,White, ,Another country,"$50,000 to less than $75,000",Yes respondent or someone else has cell phone in household, ,Urban, ,65+,65-79,65-79,MALE,Good,Excellent/Very Good/Good,Retired,College +,College +,College +,Hispanic,"Hispanic, born outside of US",$40K-$89.9K,Yes to any,Yes to any,Dual HH,Texas,Urban- Center City (Metro),South,Highest,West South Central,1,Urban,EN,20180426,0.7055,0.608
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,Yes,About once a week,Yes,Several times a week,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,3,Very satisfied,Very satisfied,Very satisfied,A few times a week,Every day,A few times a week,A few times a week,A few times a week,A few times a week,Some,More of an individual problem,No role at all,Minor role,Major role,Major role,Mostly have themselves to blame,Minor reason,Not a reason,Major reason,Minor reason,Minor reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65, ,Male, ,Married,2,0, ,Yes,No,No,No,No,No,No,Yes,Yes,No,Very good,Very good,No,No,Retired,Republican,Two-year associate degree from a college or university,Once a week,No,White, , ,"$90,000 to less than $100,000",Yes respondent or someone else has cell phone in household, ,Rural, ,65+,65-79,65-79,MALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",$90K+,Yes to any,Yes to any,Dual HH,Oklahoma,Urban- Center City (Metro),South,4,West South Central,2,Urban,EN,20180426,0.7055,0.751
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,Always,Sometimes,Always,Always,Lonely,20,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,A few times a week,Every day,Every day,A lot,More of an individual problem,Major role,Major role,Major role,Major role,Mostly have themselves to blame,Major reason,Minor reason,Not a reason,Major reason,Major reason,No,Yes,A few times a week,Less than half an hour,An equal mix of both,Strengthened,Better, , ,"No, would not recommend",Hasn't made a difference,Isn't really a problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Less than 6 months,No impact,No impact,No impact,No impact,Almost always,Almost always,Never,Sometimes,Sometimes,Sometimes,Almost always,Never,Never,Sometimes,Yes,No,Yes,No,No,Yes,Very helpful, , , , , , ,No,No,65, ,Female, ,"Single, that is never married",1,0, ,Yes,No,No,Yes,No,No,No,Yes,No,No,Only fair,Good,No,No,Employed full-time,Democrat,High school graduate (Grade 12 with diploma or GED certificate),Once or twice a month,No,Black or African-American, , ,"$20,000 to less than $30,000",Yes respondent or someone else has cell phone in household, ,Urban, ,65+,65-79,65-79,FEMALE,Only fair/Poor,Only fair/Poor,Employed,High school graduate,High school or less,Less than college,"Black, non-Hispanic","Black, non-Hispanic",Less than $40K,No to all,Yes to any,Dual HH,Mississippi,Rural- Non-Metro,South,Lowest,East South Central,5,Rural,EN,20180426,0.4775,0.3958
Somewhat happy,Somewhat satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Just a few,Yes,Several times a week,Yes,Several times a week,No, ,Sometimes,Never,Always,Sometimes,Lonely,2,Not applicable (Vol.),Somewhat satisfied,Very satisfied,Every day,Every day,A few times a year,Every day,A few times a week,Never (Vol.),A lot,More of a public health problem,Major role,Minor role,No role at all,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference,Isn't really a problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Less than 6 months,No impact,No impact,No impact,No impact,Sometimes,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,Never,Almost always,No, , , , , , ,Not a reason,Not a reason,Not a reason,Not a reason,Minor reason,Not a reason,No,No,61, ,Female, ,Married,2,0, ,Yes,No,No,No,No,No,No,No,Yes,Yes,Good,Excellent,No,No,Employed part-time,Democrat,High school graduate (Grade 12 with diploma or GED certificate),A few times a year,No,Black or African-American, , ,"$30,000 to less than $40,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,18-64,50-64,55-64,FEMALE,Good,Excellent/Very Good/Good,Employed,High school graduate,High school or less,Less than college,"Black, non-Hispanic","Black, non-Hispanic",Less than $40K,Yes to any,Yes to any,Dual HH,Oklahoma,Urban- Center City (Metro),South,4,West South Central,1,Urban,EN,20180426,0.7055,1.0526
Very happy,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,No, ,No, ,Sometimes,Sometimes,Sometimes,Never,Not Lonely,8,Somewhat satisfied,Very satisfied,Somewhat satisfied,A few times a week,A few times a week,Less than that,A few times a week,A few times a week,Less than that,Only a little,More of an individual problem,Major role,Major role,Minor role,Major role,Mostly have themselves to blame,Minor reason,Major reason,Major reason,Minor reason,Major reason,No,No, , , , , , , ,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,73, ,Female, ,"Widowed, or",2,2,13, , ,No,No,Yes,No,No,No,Yes,No,Only fair,Excellent,No,No,Retired,Republican,Two-year associate degree from a college or university,Once or twice a month,No,White, , ,"$30,000 to less than $40,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,65-79,65-79,FEMALE,Only fair/Poor,Only fair/Poor,Retired,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",Less than $40K,No to all,Yes to any,Dual HH,California,Urban- Center City County (Metro),West,3,Pacific,3,Suburban,EN,20180426,0.7055,0.6491
Somewhat happy,Somewhat satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,No, ,Sometimes,"Rarely, or",Never,"Rarely, or",Not Lonely,8,Somewhat satisfied,Somewhat satisfied,Very satisfied,Every day,Every day,Less than that,A few times a week,A few times a week,Less than that,A lot,More of a public health problem,Minor role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,81, ,Female, ,Divorced,1,0, ,Yes,No,No,No,No,No,No,No,No,No,Very good,Very good,No,Yes,Retired,Democrat,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",Once or twice a month,No,White, , ,"$100,000 or more",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,80+,80-97,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$90K+,Yes to any,No to all,Dual HH,New York,Urban- Center City (Metro),Northeast,3,Mid Atlantic,3,Suburban,EN,20180501,0.4775,0.39
